work_id;m.aterial_id;consumption_per_work_unit;waste_coeff
w.171;m.1041;1;1.0
w.171;m.629;1;1.0
w.171;m.471;1;1.0
w.171;m.846;1;1.0
w.171;m.375;1;1.0
w.171;m.777;1;1.0
w.171;m.1033;1;1.0
w.172;m.797;1;1.0
w.172;m.1041;1;1.0
w.172;m.629;1;1.0
w.172;m.471;1;1.0
w.172;m.846;1;1.0
w.172;m.375;1;1.0
w.172;m.777;1;1.0
w.172;m.1033;1;1.0
w.173;m.1039;1;1.0
w.173;m.471;1;1.0
w.173;m.846;1;1.0
w.173;m.375;1;1.0
w.173;m.777;1;1.0
w.173;m.1033;1;1.0
w.174;m.1039;1;1.0
w.174;m.471;1;1.0
w.174;m.846;1;1.0
w.174;m.375;1;1.0
w.174;m.777;1;1.0
w.174;m.1033;1;1.0
w.175;m.871;1;1.0
w.175;m.471;1;1.0
w.175;m.846;1;1.0
w.175;m.635;1;1.0
w.175;m.375;1;1.0
w.176;m.423;1;1.0
w.176;m.744;1;1.0
w.176;m.527;1;1.0
w.176;m.524;1;1.0
w.176;m.390;1;1.0
w.176;m.669;1;1.0
w.176;m.386;1;1.0
w.177;m.923;1;1.0
w.177;m.980;1;1.0
w.177;m.681;1;1.0
w.177;m.469;1;1.0
w.177;m.1059;1;1.0
w.177;m.740;1;1.0
w.177;m.641;1;1.0
w.178;m.737;1;1.0
w.178;m.641;1;1.0
w.179;m.734;1;1.0
w.179;m.418;1;1.0
w.179;m.649;1;1.0
w.179;m.652;1;1.0
w.179;m.431;1;1.0
w.180;m.798;1;1.0
w.180;m.807;1;1.0
w.180;m.479;1;1.0
w.180;m.668;1;1.0
w.180;m.360;1;1.0
w.180;m.375;1;1.0
w.181;m.432;1;1.0
w.181;m.840;1;1.0
w.181;m.361;1;1.0
w.181;m.641;1;1.0
w.181;m.517;1;1.0
w.182;m.428;1;1.0
w.182;m.840;1;1.0
w.182;m.361;1;1.0
w.182;m.641;1;1.0
w.182;m.517;1;1.0
w.183;m.428;1;1.0
w.183;m.840;1;1.0
w.183;m.361;1;1.0
w.183;m.641;1;1.0
w.183;m.517;1;1.0
w.184;m.428;1;1.0
w.184;m.537;1;1.0
w.185;m.1011;1;1.0
w.185;m.644;1;1.0
w.185;m.1025;1;1.0
w.185;m.1032;1;1.0
w.185;m.438;1;1.0
w.185;m.830;1;1.0
w.185;m.380;1;1.0
w.185;m.527;1;1.0
w.186;m.800;1;1.0
w.186;m.353;1;1.0
w.186;m.853;1;1.0
w.186;m.801;1;1.0
w.186;m.891;1;1.0
w.186;m.764;1;1.0
w.186;m.479;1;1.0
w.186;m.666;1;1.0
w.186;m.765;1;1.0
w.186;m.956;1;1.0
w.186;m.363;1;1.0
w.186;m.375;1;1.0
w.186;m.428;1;1.0
w.186;m.840;1;1.0
w.186;m.361;1;1.0
w.186;m.641;1;1.0
w.186;m.517;1;1.0
w.187;m.800;1;1.0
w.187;m.900;1;1.0
w.187;m.353;1;1.0
w.187;m.853;1;1.0
w.187;m.801;1;1.0
w.187;m.764;1;1.0
w.187;m.479;1;1.0
w.187;m.666;1;1.0
w.187;m.765;1;1.0
w.187;m.363;1;1.0
w.187;m.375;1;1.0
w.187;m.428;1;1.0
w.187;m.840;1;1.0
w.187;m.361;1;1.0
w.187;m.641;1;1.0
w.187;m.517;1;1.0
w.188;m.800;1;1.0
w.188;m.900;1;1.0
w.188;m.353;1;1.0
w.188;m.853;1;1.0
w.188;m.801;1;1.0
w.188;m.764;1;1.0
w.188;m.479;1;1.0
w.188;m.666;1;1.0
w.188;m.765;1;1.0
w.188;m.363;1;1.0
w.188;m.375;1;1.0
w.188;m.428;1;1.0
w.188;m.840;1;1.0
w.188;m.361;1;1.0
w.188;m.641;1;1.0
w.188;m.517;1;1.0
w.189;m.736;1;1.0
w.189;m.806;1;1.0
w.189;m.364;1;1.0
w.189;m.490;1;1.0
w.189;m.414;1;1.0
w.189;m.960;1;1.0
w.189;m.480;1;1.0
w.189;m.554;1;1.0
w.189;m.373;1;1.0
w.189;m.518;1;1.0
w.190;m.735;1;1.0
w.190;m.967;1;1.0
w.190;m.364;1;1.0
w.190;m.490;1;1.0
w.190;m.480;1;1.0
w.190;m.554;1;1.0
w.190;m.373;1;1.0
w.190;m.518;1;1.0
w.190;m.860;1;1.0
w.190;m.862;1;1.0
w.194;m.811;1;1.0
w.194;m.1039;1;1.0
w.194;m.629;1;1.0
w.194;m.471;1;1.0
w.194;m.846;1;1.0
w.194;m.375;1;1.0
w.194;m.777;1;1.0
w.194;m.1033;1;1.0
w.195;m.430;1;1.0
w.195;m.799;1;1.0
w.195;m.857;1;1.0
w.195;m.739;1;1.0
w.195;m.811;1;1.0
w.195;m.1011;1;1.0
w.195;m.1039;1;1.0
w.195;m.848;1;1.0
w.196;m.1011;1;1.0
w.196;m.848;1;1.0
w.196;m.810;1;1.0
w.196;m.1025;1;1.0
w.196;m.1032;1;1.0
w.197;m.810;1;1.0
w.197;m.1011;1;1.0
