material_id;material_name;image_url;item_url;unit;unit_price;expenditure;weight
m.66;*14562941001(13660181001) REHAU RAUTITAN Тройник настенный с внутренней резьбой 20-Rp1/2-20 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/f36/1000_750_1/rqlagk0l3h3p7i.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12473;шт.;2 112,80;;
m.67;*14562961001(13660201001)(12582061002) REHAU RAUTITAN Тройник с внутр. резьбой на боков. проходе 25-Rp 3/4-25 RX+ для труб из полиэтилена аксиальный;https://lk.teremopt.ru/upload/iblock/53e/RQLAGK0L3H3P7J.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12474;шт.;2 611,55;;
m.68;*14563171001(13660561001) REHAU RAUTITAN Переходник с наружной резьбой 25-R 1/2 RX+ для труб из сшит полиэтил аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/0c4/1000_750_1/rg008q1vibpqc7_0.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=58819;шт.;1 614,05;;
m.69;*14563271001(13660671001) REHAU RAUTITAN Переходник с внутренней резьбой 16-Rp 1/2 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/ce3/1000_750_1/rg008s3og06blr.jpeg;https://lk.teremopt.ru/catalogue/detail.php?ID=131369;шт.;1 189,40;;
m.70;*14563291001(13660691001) REHAU RAUTITAN Переходник с внутренней резьбой 20-Rp 3/4 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/9be/1000_750_1/RG008Q20Q7TEFP.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=58823;шт.;1 300,55;;
m.71;*14563301001(13660701001) REHAU RAUTITAN Переходник с внутренней резьбой 25-Rp 1/2 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/0cd/1000_750_1/RG008N1K6T8O30.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12285;шт.;1 734,70;;
m.72;*14563311001(13660711001) REHAU RAUTITAN Переходник с внутренней резьбой 25-Rp 3/4 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/751/1000_750_1/rg008s0hskj18p_0.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=93625;шт.;1 734,70;;
m.73;*14563321001(13660721001) REHAU RAUTITAN Переходник с внутренней резьбой 32-Rp 3/4 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/iblock/b12/RG008T764OM70U.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=11136802;шт.;2 565,00;;
m.74;*14563331001(13660731001) REHAU RAUTITAN Переходник с внутренней резьбой 32-Rр 1 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/iblock/cd1/RG008Q217JIU51.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=58827;шт.;2 565,00;;
m.75;*14563341001(13660741001) REHAU RAUTITAN Переходник с внутренней резьбой 40-Rр 1 1/4 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/iblock/78b/RQLAGL0QFKID05.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12558;шт.;5 054,00;;
